"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 18 10:02:17 GMT 2023","Wed Oct 18 10:02:18 GMT 2023","714","","bookstore.automation.api.tests.LoginTest","","bookstore.automation.api.tests.LoginTest","loginWithInvalidUsernameAndPassword","Login with invalid username and password  return - 400",""
"passed","Wed Oct 18 10:02:18 GMT 2023","Wed Oct 18 10:02:19 GMT 2023","674","","bookstore.automation.api.tests.LoginTest","","bookstore.automation.api.tests.LoginTest","loginSuccessfully","Login successfully return - 200",""
"passed","Wed Oct 18 10:02:16 GMT 2023","Wed Oct 18 10:02:16 GMT 2023","348","","bookstore.automation.api.tests.RegisterTest","","bookstore.automation.api.tests.RegisterTest","createAnAccountWithAPasswordThatDoesNotContainSpecialCharacters","Create an account with a password that does not contain special characters return - 400",""
"passed","Wed Oct 18 10:02:09 GMT 2023","Wed Oct 18 10:02:14 GMT 2023","4870","","bookstore.automation.api.tests.RegisterTest","","bookstore.automation.api.tests.RegisterTest","newAccountRegistration","Registration of a new account return - 201",""
"passed","Wed Oct 18 10:02:21 GMT 2023","Wed Oct 18 10:02:23 GMT 2023","1556","","bookstore.automation.api.tests.DeleteAccountTest","","bookstore.automation.api.tests.DeleteAccountTest","deletNonExistentUser","Delet non-existent user return code - 1207",""
"passed","Wed Oct 18 10:02:14 GMT 2023","Wed Oct 18 10:02:15 GMT 2023","493","","bookstore.automation.api.tests.RegisterTest","","bookstore.automation.api.tests.RegisterTest","createAnAccountWithTheSameDataAsAnExistingAccount","Create an account with the same data as an existing account return - 400",""
"passed","Wed Oct 18 10:02:19 GMT 2023","Wed Oct 18 10:02:20 GMT 2023","674","","bookstore.automation.api.tests.LoginTest","","bookstore.automation.api.tests.LoginTest","loginWithInvalidUsername","Login with invalid username return - 400",""
"passed","Wed Oct 18 10:02:16 GMT 2023","Wed Oct 18 10:02:17 GMT 2023","548","","bookstore.automation.api.tests.BooksTest","","bookstore.automation.api.tests.BooksTest","accessAListOfAvailableBooks","Access a list of available books return - 200",""
"passed","Wed Oct 18 10:02:20 GMT 2023","Wed Oct 18 10:02:21 GMT 2023","1499","","bookstore.automation.api.tests.DeleteAccountTest","","bookstore.automation.api.tests.DeleteAccountTest","deleteAccount","Delete account return - 204",""
"passed","Wed Oct 18 10:02:15 GMT 2023","Wed Oct 18 10:02:16 GMT 2023","420","","bookstore.automation.api.tests.RegisterTest","","bookstore.automation.api.tests.RegisterTest","createAnAccountWithBlankUsernameAndPassword","Create an account with blank username and password return - 400",""
"passed","Wed Oct 18 10:02:18 GMT 2023","Wed Oct 18 10:02:18 GMT 2023","675","","bookstore.automation.api.tests.LoginTest","","bookstore.automation.api.tests.LoginTest","loginWithInvalidPassword","Login with invalid password return - 400",""
"passed","Wed Oct 18 10:02:15 GMT 2023","Wed Oct 18 10:02:15 GMT 2023","405","","bookstore.automation.api.tests.RegisterTest","","bookstore.automation.api.tests.RegisterTest","createAnAccountWithBlankUserName","Create an account with blank userName return - 400",""
"passed","Wed Oct 18 10:02:16 GMT 2023","Wed Oct 18 10:02:16 GMT 2023","332","","bookstore.automation.api.tests.RegisterTest","","bookstore.automation.api.tests.RegisterTest","createAnAccountWithBlankPassword","Create an account with blank password return - 400",""
